,acc,val_acc,loss,val_loss
0,0.7229477763175964,0.800744891166687,0.5934977531433105,0.4573413133621216
1,0.8134328126907349,0.8659217953681946,0.4703764617443085,0.3509507477283478
2,0.826958954334259,0.8342644572257996,0.439963698387146,0.3818379640579224
3,0.8451492786407471,0.858473002910614,0.3983790576457977,0.3299026191234589
4,0.8404850959777832,0.8566107749938965,0.4036372601985931,0.3176633417606354
5,0.8596082329750061,0.9050279259681702,0.3669366836547852,0.2572850286960602
6,0.8670709133148193,0.8808193802833557,0.3466176986694336,0.2699294686317444
7,0.8694030046463013,0.8975791335105896,0.3324171602725983,0.2591758072376251
8,0.8763992786407471,0.8957169651985168,0.3343527615070343,0.22048555314540866
9,0.8773320913314819,0.8547486066818237,0.32785624265670776,0.3384639918804169
10,0.8903917670249939,0.910614550113678,0.3043619394302368,0.2142825424671173
11,0.8885261416435242,0.7635009288787842,0.28394344449043274,0.418698787689209
12,0.8978545069694519,0.7877094745635986,0.28298476338386536,0.3704397678375244
13,0.8922574520111084,0.8286778330802917,0.28412890434265137,0.3441364169120789
14,0.9043843150138856,0.8975791335105896,0.25667622685432434,0.2292323261499405
15,0.9123134613037108,0.7597765326499939,0.22241131961345675,0.4773804545402527
16,0.9235074520111084,0.9068901538848876,0.18656057119369507,0.2428438514471054
17,0.903917908668518,0.7895717024803162,0.2591785490512848,0.4274810552597046
18,0.9132462739944458,0.864059567451477,0.2372495085000992,0.2873552739620209
19,0.910914182662964,0.8975791335105896,0.2257607877254486,0.2240658402442932
20,0.9183768630027772,0.8417132496833801,0.2295453250408173,0.3127168416976929
21,0.922108232975006,0.8212290406227112,0.2095541208982468,0.3657595813274384
22,0.9281716346740724,0.8081936836242676,0.19708490371704104,0.3871622979640961
23,0.9323694109916688,0.8212290406227112,0.1924719661474228,0.3997160196304321
24,0.9235074520111084,0.8193668723106384,0.19677542150020602,0.3984856605529785
25,0.9235074520111084,0.8733705878257751,0.2055501937866211,0.26780202984809875
26,0.9249067306518556,0.7970204949378967,0.19794367253780365,0.4183947443962097
27,0.922108232975006,0.8379888534545898,0.19260114431381226,0.3156749904155731
28,0.9402984976768494,0.8026070594787598,0.1620924472808838,0.44587793946266174
29,0.9496268630027771,0.884543776512146,0.13630537688732147,0.28763216733932495
30,0.9435634613037109,0.8398510217666626,0.1603526622056961,0.3779107928276062
31,0.9430969953536987,0.8938547372817993,0.15326152741909027,0.25332891941070557
32,0.9500932693481445,0.9329608678817749,0.13473841547966003,0.1712300330400467
33,0.9342350959777832,0.884543776512146,0.17681379616260529,0.2745320498943329
34,0.9379664063453674,0.8454376459121704,0.16472870111465454,0.3692861795425415
35,0.9463619589805603,0.8566107749938965,0.14556357264518738,0.3248431086540222
36,0.9496268630027771,0.8696461915969849,0.14735329151153564,0.3059879243373871
37,0.9426305890083313,0.8975791335105896,0.14732463657855988,0.2477070391178131
38,0.9375,0.9385474920272827,0.15537145733833313,0.17525534331798553
